|topic_0|topic_1|topic_2|topic_3|topic_4|topic_5|topic_6|topic_7|topic_8|topic_9|topic_10|topic_11|topic_12|topic_13|topic_14|topic_15|topic_16|topic_17|topic_18|topic_19|topic_20|topic_21|topic_22|topic_23|topic_24|topic_25|topic_26|topic_27|topic_28|topic_29|topic_30|topic_31|topic_32|topic_33|topic_34|topic_35|topic_36|topic_37|topic_38|topic_39|topic_40|topic_41|topic_42|topic_43|topic_44|topic_45|topic_46|
doc_2752|       |       |       |      X|       |       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |
doc_2753|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2754|       |       |       |       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2755|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2756|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2757|       |       |       |       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |
doc_2758|       |       |       |       |       |       |       |       |       |       |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2759|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |
doc_2760|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2761|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2762|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|       X|
doc_2763|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2764|       |       |       |       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |
doc_2765|       |       |       |      X|       |       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |
doc_2766|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|       X|
doc_2767|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2768|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2769|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2770|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2771|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2772|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2773|       |       |       |      X|       |       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2774|       |       |       |       |       |       |       |       |       |       |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |
doc_2775|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2776|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2777|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |
doc_2778|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |       X|       X|
doc_2779|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2780|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |       X|        |
doc_2781|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2782|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2783|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2784|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |
doc_2785|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2786|       |       |       |       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|
doc_2787|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |       X|        |
doc_2788|       |       |       |      X|       |       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |
doc_2789|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2790|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2791|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2792|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2793|       |       |       |      X|      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |
doc_2794|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2795|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2796|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2797|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2798|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2799|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2800|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2801|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2802|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2803|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2804|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |
doc_2805|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2806|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2807|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2808|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2809|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2810|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2811|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2812|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2813|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2814|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2815|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2816|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2817|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2818|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2819|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2820|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2821|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2822|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2823|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2824|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2825|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|       X|
doc_2826|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2827|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2828|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |
doc_2829|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2830|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2831|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2832|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2833|       |       |       |      X|      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |
doc_2834|       |       |       |      X|      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |
doc_2835|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2836|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2837|       |       |       |      X|       |       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |
doc_2838|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |
doc_2839|       |       |       |      X|       |       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |       X|
doc_2840|      X|       |       |       |       |       |      X|       |       |       |       X|        |        |        |       X|        |        |        |        |       X|       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |
doc_2841|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_2842|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2843|       |       |       |      X|       |       |       |      X|       |       |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2844|      X|       |       |       |       |       |      X|       |       |       |       X|        |        |        |       X|        |        |        |        |       X|       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |
doc_2845|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |
doc_2846|       |       |       |      X|       |       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |       X|        |
doc_2847|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2848|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |
doc_2849|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |       X|       X|
doc_2850|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2851|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2852|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |
doc_2853|      X|       |       |       |       |       |      X|       |       |       |       X|        |        |        |       X|        |        |        |        |       X|       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |
doc_2854|       |       |       |      X|       |       |      X|       |       |       |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2855|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2856|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2857|       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_2858|       |       |       |       |       |       |       |       |       |       |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
